user,updated_at,body,url
"eggplants","2022-01-31T17:27:19Z","https://en.wikipedia.org/wiki/List_of_disk_drive_form_factors

![image](https://user-images.githubusercontent.com/42153744/151841925-cc989921-5b43-4973-ac7d-6522ca9027ef.png)
","https://github.com/eggplants/ghitter/issues/22#issue-1119562923"
"eggplants","2022-01-31T17:22:39Z","[過去最大容量。20TBの3.5インチHDDが17日より販売開始 - エルミタージュ秋葉原<br>![thumb](https://www.gdm.or.jp/wp-content/uploads/2021/12/16/20211217_akiba_1024x768_01.jpg)](https://www.gdm.or.jp/crew/2021/1216/420021)","https://github.com/eggplants/ghitter/issues/22#issuecomment-1026021663"
"eggplants","2022-01-31T17:27:19Z","バカの容量","https://github.com/eggplants/ghitter/issues/22#issuecomment-1026026356"
