user,updated_at,body,url
"eggplants","2022-02-04T23:14:59Z","```
Wordle 231 X/6

⬛⬛⬛⬛🟩
⬛🟨⬛⬛⬛
🟨⬛⬛⬛🟩
⬛⬛🟨⬛⬛
🟨🟨🟨⬛🟩
🟨🟩🟩🟨🟩
```","https://github.com/eggplants/ghitter/issues/26#issue-1124310094"
"eggplants","2022-02-04T18:36:50Z","click、カス","https://github.com/eggplants/ghitter/issues/26#issuecomment-1030249448"
"eggplants","2022-02-04T20:57:56Z","![image](https://user-images.githubusercontent.com/42153744/152558101-c8c8aa72-9ad3-40aa-b1b3-5900d795dd57.png)

aloft is 何","https://github.com/eggplants/ghitter/issues/26#issuecomment-1030343718"
"eggplants","2022-02-04T20:59:05Z",">aloft
>副
>〈文〉空中に、空高く、上方へ、高い所に
>・With a backspin the ball stays aloft longer. : 逆回転を加えるとボールはより長く空中を飛ぶ。
>《海事》マストの上に［高く］、檣上に
https://eow.alc.co.jp/search?q=aloft","https://github.com/eggplants/ghitter/issues/26#issuecomment-1030344420"
"eggplants","2022-02-04T23:06:53Z","https://github.com/search?q=filename%3Aph.d+language%3Ad&type=","https://github.com/eggplants/ghitter/issues/26#issuecomment-1030418371"
"eggplants","2022-02-04T23:14:59Z","https://www.dbooks.org/d/1882114280-1591951586-b772dc61daf14397/","https://github.com/eggplants/ghitter/issues/26#issuecomment-1030422059"
