user,updated_at,body,url
"eggplants","2022-02-02T13:10:34Z","Wordle 228 4/6

🟨⬛⬛🟨⬛
🟨⬛⬛⬛⬛
⬛⬛🟨⬛⬛
🟩🟩🟩🟩🟩","https://github.com/eggplants/ghitter/issues/23#issue-1120819943"
"eggplants","2022-02-01T21:37:29Z","https://www.yui.ne.jp/np2/
https://archive.org/details/pc-98_202101
<img width=""708"" alt=""スクリーンショット 2022-02-02 6 35 35"" src=""https://user-images.githubusercontent.com/42153744/152055482-b192dc72-457d-4601-8bbb-ed1bc07ee166.png"">
","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027312066"
"eggplants","2022-02-01T21:38:15Z","日本語が化けるが…","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027312569"
"eggplants","2022-02-01T22:08:52Z","retroarchでneko Ⅱ kaiのCore使って起動すると、コンソールは文字化けしないが、ゲーム内の日本語が全て表示されない","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027335695"
"eggplants","2022-02-02T12:46:19Z","Mac×日本語は二重苦","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027906694"
"eggplants","2022-02-02T12:46:34Z","Windowsだと上手くいくな","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027906851"
"eggplants","2022-02-02T13:10:29Z","AP申し込み忘れてた（笑）","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027925742"
"eggplants","2022-02-02T13:10:34Z","終わりや","https://github.com/eggplants/ghitter/issues/23#issuecomment-1027925806"
