user,updated_at,body,url
"eggplants","2022-02-19T06:11:44Z","![_](https://github.githubassets.com/images/mona-loading-default.gif)","https://github.com/eggplants/ghitter/issues/40#issue-1143242206"
"eggplants","2022-02-18T17:51:57Z","https://twitter.com/Shyboy_rap/status/1221411053549916160?t=tKrzKfvZJA0ew-DGhjYXlQ&s=19","https://github.com/eggplants/ghitter/issues/40#issuecomment-1044916677"
"eggplants","2022-02-19T06:11:44Z","![YouTuberは、すべてAIになるそうです… 24-51 screenshot](https://user-images.githubusercontent.com/42153744/154788857-afa1e768-74e2-4940-8462-49012c4cee9a.png)
","https://github.com/eggplants/ghitter/issues/40#issuecomment-1045857050"
