user,updated_at,body,url
"eggplants","2022-01-15T15:36:05Z","Twitterかもね","https://github.com/eggplants/ghitter/issues/1#issue-1104103153"
"eggplants","2022-01-14T20:58:46Z","ここに書いた投稿は0時ちょっとすぎにcsvで`archives/YYYY/MM/YYYY-MM-DD.csv`に保存される。でissueはcloseされる。","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013465592"
"eggplants","2022-01-14T20:52:20Z","そのあとすぐ次の日のissueが作成される。","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013465850"
"eggplants","2022-01-14T20:53:10Z","他の人が作成したものは対象にならない。
","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013466301"
"eggplants","2022-01-15T11:25:34Z","Close後Lockするようにした。
https://github.com/eggplants/ghitter/commit/0fa859218ed10c58942436cf268c8c56e7d0a86c","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013468948"
"eggplants","2022-01-14T20:59:41Z","![image](https://user-images.githubusercontent.com/42153744/149584406-0ddf8d3d-eb79-49bc-80a3-f1ea4c7219ea.png)
https://github.com/eggplants/_/actions/runs/1699498164","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013469736"
"eggplants","2022-01-14T21:01:22Z","手動closeできるが、CIがCloseする前に閉めちゃうとArchiveされない。
理由: https://github.com/eggplants/_/blob/0fa859218ed10c58942436cf268c8c56e7d0a86c/.github/workflows/issue.yml#L30","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013470262"
"eggplants","2022-01-14T21:02:38Z","CI Abuseなんかなあ　規約を読む","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013471297"
"eggplants","2022-01-14T21:05:06Z","https://docs.github.com/en/github/site-policy/github-terms-for-additional-products-and-features#actions

> Actions should not be used for:
> - cryptomining;
> - disrupting, gaining, or attempting to gain unauthorized access to, any service, device, data, account, or network (other than those authorized by the GitHub Bug Bounty program);
>the provision of a stand-alone or integrated application or service offering the Actions product or service, or any elements of the Actions product or service, for commercial purposes;
> - any activity that places a burden on our servers, where that burden is disproportionate to the benefits provided to users (for example, don't use Actions as a content delivery network or as part of a serverless application, but a low benefit Action could be ok if it’s also low burden); or
> - if using GitHub-hosted runners, any other activity unrelated to the production, testing, deployment, or publication of the software project associated with the repository where GitHub Actions are used.","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013472735"
"eggplants","2022-01-14T21:07:41Z","自分のライフログをアーカイブする`software project associated with the repository`ということで一つ…","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013474068"
"eggplants","2022-01-14T21:11:35Z","今日は外出する必要がある","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013476201"
"eggplants","2022-01-14T21:14:25Z","ラベル付与して普通のissue立ててもいい感じにするか","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013477687"
"eggplants","2022-01-15T11:25:21Z","OK https://github.com/eggplants/ghitter/commit/825b52fde4a59f65358737a173b8bbee266c6f96","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013484736"
"eggplants","2022-01-14T22:09:51Z","nano、コピーできるんや

> M-^ (M-6) Copy the current line and store it in the cutbuffer
","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013506972"
"eggplants","2022-01-14T22:10:17Z","^k^u(移動)^uしてた","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013507163"
"eggplants","2022-01-14T22:20:44Z","YouTubeの動画ページ上で:

```markdown
[<title>![thumb](
  https://img.youtube.com/vi/<id>/0.jpg
)](http://youtu.be/<id>)
```

が簡単にコピペできるやつがあるといい。

---

- `<title>`: `Rich Brian - Glow Like Dat`
- `<id>`: `adDD43CvrUc`

[Rich Brian - Glow Like Dat![thumb](
  https://img.youtube.com/vi/adDD43CvrUc/0.jpg
)](http://youtu.be/adDD43CvrUc)","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013512375"
"eggplants","2022-01-14T22:56:18Z","```javascript
(() => {
  let url = new URL(window.location);
  if (url.origin === ""https://www.youtube.com"") {
    let ytId = url.searchParams.get(""v"");
    let title = document.querySelectorAll(""h1.title"")[1].innerText;
    let shareText = `
      [${title}![thumb](
        https://img.youtube.com/vi/${ytId}/0.jpg
      )](http://youtu.be/${ytId})
    `
      .trim()
      .replace(/(\n)\s+/g, ""$1"")
      .replace(/\n/gm, """");
    alert(shareText);
  }
})();
```","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013524819"
"eggplants","2022-01-14T23:01:00Z","Bookmarkletにした。

```javascript
javascript:(()=>{let url=new URL(window.location);if(url.origin===""https://www.youtube.com""){let ytId=url.searchParams.get(""v"");let title=document.querySelectorAll(""h1.title"")[1].innerText;let shareText=`[${title}![thumb](https://img.youtube.com/vi/${ytId}/0.jpg)](http://youtu.be/${ytId})`;alert(shareText)}})()
```

---

![image](https://user-images.githubusercontent.com/42153744/149595443-879fbedf-e73f-426a-8aff-4a19fa5db5bb.png)
","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013529139"
"eggplants","2022-01-14T23:02:45Z","https://gist.github.com/eggplants/9d02b1c389987f90fd5fbdff8415608f","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013529258"
"eggplants","2022-01-14T23:26:20Z","感動した

[ライフゲーム入門 (Introduction The Game of Life)![thumb](https://img.youtube.com/vi/ZOkm867AleM/0.jpg)](http://youtu.be/ZOkm867AleM)","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013539544"
"eggplants","2022-01-14T23:28:24Z","![ライフゲーム入門 (Introduction The Game of Life) 1-27 screenshot](https://user-images.githubusercontent.com/42153744/149597917-d93d2c16-051f-4529-b4dd-6a0c4be270e5.png)


https://www.conwaylife.com/wiki/Max","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013540309"
"eggplants","2022-01-14T23:43:17Z"," 
![image](https://user-images.githubusercontent.com/42153744/149598810-2b859234-333a-4f44-93d2-33fd198dab89.png)
","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013545189"
"eggplants","2022-01-14T23:58:57Z","```python
def get_surround(board, x, y):
  return [
    *board[y-1][x-1:x+1],
    board[y][x-1:x+2:2],
    *board[y+1][x-1:x+1]
  ]

if board[y][x] == white && get_surround(board, x, y).count(black) == 3:
  next_board[y][x] = black
elif board[y][x] == black && 2 <= get_surround(board, x, y).count(black) <= 3:
  next_board[y][x] = black
else:
  next_board[y][x] = white
```","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013550025"
"eggplants","2022-01-15T00:26:35Z","アーカイブをCSVと合わせてMDでも取るべきだなあ","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013558728"
"eggplants","2022-01-15T00:28:10Z","```markdown
# <title>

---

<body 1>

@<author>, *updated at: <updated_at>*

---

...

```","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013559097"
"eggplants","2022-01-15T11:25:06Z","OK https://github.com/eggplants/ghitter/commit/c5a654aba3f57765c009ba77d5e0fad699527726","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013565373"
"eggplants","2022-01-15T11:24:57Z","うまくいっとるな
https://github.com/eggplants/ghitter/commit/f43f7d45d7d5c6bada3a62895aa8caec4341f1b4","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013663756"
"eggplants","2022-01-15T11:16:46Z","Lockされてないなあと思ったらどうやらhttps://github.com/OSDKDev/lock-issues がバグっとる
正常終了するな","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013664336"
"eggplants","2022-01-15T11:24:47Z","OK https://github.com/eggplants/ghitter/commit/feb793ef05e4cfd300b4cdd0713678a78a7d5f91","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013665318"
"eggplants","2022-01-15T13:01:51Z","> 今日は外出する必要がある

![image](https://user-images.githubusercontent.com/42153744/149622665-417e77c8-75d9-4116-9fab-f6fd3ea0928f.png)
","https://github.com/eggplants/ghitter/issues/1#issuecomment-1013678673"
