user,updated_at,body,url
"eggplants","2022-01-20T23:35:29Z","Wordle 216 6/6

🟨⬜⬜🟨⬜
⬜🟩⬜⬜⬜
⬜⬜🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩","https://github.com/eggplants/ghitter/issues/11#issue-1109424778"
"eggplants","2022-01-20T23:35:19Z","https://gist.github.com/eggplants/7321bea2051d86b4629ec681eac7311c","https://github.com/eggplants/ghitter/issues/11#issuecomment-1018021159"
"eggplants","2022-01-20T23:35:29Z","https://www.powerlanguage.co.uk/wordle/main.e65ce0a5.js","https://github.com/eggplants/ghitter/issues/11#issuecomment-1018021222"
