user,updated_at,body,url
"eggplants","2022-01-24T15:11:55Z","  o
 ouo
ououo","https://github.com/eggplants/ghitter/issues/14#issue-1111898693"
"eggplants","2022-01-23T16:43:21Z","[音量設定を間違えすぎた咀嚼音【ASMR】![thumb](https://img.youtube.com/vi/g9lsWCublso/0.jpg)](http://youtu.be/g9lsWCublso)

","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019522281"
"eggplants","2022-01-23T16:43:49Z","soundcloud共有mdcode取得bookmarkletも欲しい気持ちがある","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019522349"
"eggplants","2022-01-23T17:19:57Z","```javascript
javascript:(()=>{let url=new URL(window.location);if(url.origin===""https://soundcloud.com""){let imageUrl=document.querySelector(""span.sc-artwork.sc-artwork-40x"").style.backgroundImage.split('""')[1];let title=document.querySelector(""h1.soundTitle__title"").innerText;let artist=document.querySelector(""a.sc-link-secondary"").innerText;let shareText=`[${artist} - ${title}![thumb](${imageUrl})](${window.location})`;alert(shareText)}})()
```

---

[Lil Ash 懺悔 - 精神病棟![thumb](https://i1.sndcdn.com/artworks-YMIpebezA28atO5h-mM4BXQ-t500x500.jpg)](https://soundcloud.com/lilashzange/hnvwtem9yirh)","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019526974"
"eggplants","2022-01-23T17:16:02Z","https://gist.github.com/eggplants/a0d9b454b49ff2415f58cb746ae57730","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019528458"
"eggplants","2022-01-23T17:46:07Z","![image](https://user-images.githubusercontent.com/42153744/150691058-c6194d01-2108-40e5-8ee8-91d07a7d37f2.png)
","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019533224"
"eggplants","2022-01-23T18:07:36Z","Wordle 219 X/6

⬛⬛⬛🟨⬛
⬛🟨⬛⬛⬛
⬛🟨⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019537357"
"eggplants","2022-01-23T18:08:54Z","> Knoll, Inc., is an American design firm that produces office systems, seating, files and storage, tables and desks, textiles, and accessories for the office, home, and higher education settings.
>https://en.wikipedia.org/wiki/Knoll_(company)

家具の会社らしい　一般名詞ではない","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019537557"
"eggplants","2022-01-24T01:17:38Z","眼科","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019625632"
"eggplants","2022-01-24T03:51:56Z","https://endoflife.date/python

![image](https://user-images.githubusercontent.com/42153744/150719230-ea37a291-4fbc-410d-a105-0abc15151452.png)
","https://github.com/eggplants/ghitter/issues/14#issuecomment-1019689741"
"eggplants","2022-01-24T15:11:55Z","https://pandas.pydata.org/pandas-docs/version/1.0.0/development/contributing.html

rdflibが抱えている問題と同じようなことがpandasでも","https://github.com/eggplants/ghitter/issues/14#issuecomment-1020203058"
