user,updated_at,body,url
"eggplants","2022-03-12T10:58:20Z","![_](https://github.githubassets.com/images/mona-loading-default.gif)","https://github.com/eggplants/ghitter/issues/61#issue-1166542582"
"eggplants","2022-03-12T06:52:55Z","- [ ] つめきり
- [x] ワイドモニター
- [ ] Go Slack
- [ ] 透明袋
- [ ] 炊飯器捨てる
- [ ] 鍋捨てる
- [ ] 食器捨てる","https://github.com/eggplants/ghitter/issues/61#issuecomment-1065232152"
"eggplants","2022-03-12T06:52:36Z","- [ ] [昇降デスク](https://www.amazon.co.jp/dp/B092CZ467D) - 33600
- [ ] [Dell 34インチ曲面ゲーミング モニター - S3422DWG](https://www.amazon.co.jp/dp/B095C2QLK2) - 56552
- [ ] [マットレス](https://www.amazon.co.jp/dp/B09G6RHWRY) - 17525","https://github.com/eggplants/ghitter/issues/61#issuecomment-1065809319"
"eggplants","2022-03-12T07:03:44Z","![Screenshot_2022-03-12-16-01-23-40_40deb401b9ffe8e1df2f1cc5ba480b12](https://user-images.githubusercontent.com/42153744/158007880-6d56ad26-095c-4dc2-ba61-1d9aa5d599b5.jpg)

殺してくれ","https://github.com/eggplants/ghitter/issues/61#issuecomment-1065829946"
"eggplants","2022-03-12T10:58:02Z","networkx、デカすぎ","https://github.com/eggplants/ghitter/issues/61#issuecomment-1065862125"
"eggplants","2022-03-12T10:58:20Z","機能ありすぎる","https://github.com/eggplants/ghitter/issues/61#issuecomment-1065862161"
