user,updated_at,body,url
"eggplants","2022-03-01T02:21:31Z","![_](https://github.githubassets.com/images/mona-loading-default.gif)","https://github.com/eggplants/ghitter/issues/50#issue-1154213604"
"eggplants","2022-02-28T19:30:28Z","汚言
","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054591198"
"eggplants","2022-02-28T19:37:34Z","[ヤジュえもん　サントラ-1 - ニコニコ動画<br>![thumb](https://img.cdn.nimg.jp/s/nicovideo/thumbnails/34305442/34305442.original/r1280x720l?key=a4b0c8e8e439c36ececf03c90fa7866bb1afbc31568472eef2817f139d3b0964)](https://www.nicovideo.jp/watch/sm34179080)","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054595832"
"eggplants","2022-02-28T21:04:57Z","<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">How do you determine if a <a href=""https://twitter.com/hashtag/SPARQL?src=hash&amp;ref_src=twsrc%5Etfw"">#SPARQL</a> Query Service Endpoint is <a href=""https://twitter.com/hashtag/VirtuosoRDBMS?src=hash&amp;ref_src=twsrc%5Etfw"">#VirtuosoRDBMS</a> based, bearing in mind this isn&#39;t always obvious? For example:<a href=""https://t.co/YDcTXDHny2"">https://t.co/YDcTXDHny2</a> . <br><br>Discovery query.<a href=""https://t.co/N12GanBvvb"">https://t.co/N12GanBvvb</a><a href=""https://twitter.com/hashtag/KnowledgeGraph?src=hash&amp;ref_src=twsrc%5Etfw"">#KnowledgeGraph</a> <a href=""https://t.co/l0KGruojTi"">pic.twitter.com/l0KGruojTi</a></p>&mdash; Kingsley Uyi Idehen (@kidehen) <a href=""https://twitter.com/kidehen/status/1498390403678146561?ref_src=twsrc%5Etfw"">February 28, 2022</a></blockquote>","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054660070"
"eggplants","2022-02-28T21:04:49Z","これ標準にしてくれ","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054660339"
"eggplants","2022-03-01T00:23:18Z","木曜　病院","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054845551"
"eggplants","2022-03-01T02:21:31Z","[Come and Learn with Pibby! | adult swim - YouTube<br>![thumb](https://i.ytimg.com/vi/Btu0O47u3rY/hqdefault.jpg)](https://www.youtube.com/watch?v=Btu0O47u3rY)","https://github.com/eggplants/ghitter/issues/50#issuecomment-1054917005"
