user,updated_at,body,url
"eggplants","2022-04-01T20:44:01Z","![_](https://github.githubassets.com/images/mona-loading-default.gif)","https://github.com/eggplants/ghitter/issues/81#issue-1189946445"
"eggplants","2022-04-01T15:53:39Z","```
 　　　　　　　　　　　　　　　　＼　│　／
 　　　　　　　　　　　　　　　　　／￣＼　　 ／￣￣￣￣￣￣￣￣￣
 　　　　　　　　　　　　　　　─（ ﾟ ∀ ﾟ ）＜　さいたまさいたま！
 　　　　　　　　　　　　　　　　　＼＿／　　 ＼＿＿＿＿＿＿＿＿＿
 　　　　　　　　　　　　　　　　／　│　＼
 　　　　　　　　　　　　　　　　　　　 ∩ ∧　∧　　／￣￣￣￣￣￣￣￣￣￣
 ￣￣￣￣￣￣￣￣＼∩ ∧　∧　＼（ ﾟ∀ﾟ）＜　さいたまさいたまさいたま！
 さいたま～～～！ 　 ＞（ ﾟ∀ﾟ ）/ ｜　　　　/　＼＿＿＿＿＿＿＿＿＿＿
 ＿＿＿＿＿＿＿＿／ ｜　　　 〈　｜　　　｜
 　　　　　　　　　　　　　 /　／＼_」　/　／＼」
 　　　　　　　　　　　　　 ￣　　　　 / ／
```","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086074418"
"eggplants","2022-04-01T15:55:24Z","```
  ＼　│　／
　　／￣＼　　 ／￣￣￣￣￣￣￣￣￣
─（ ﾟ ∀ ﾟ ）＜　さいたまさいたま！
 　 ＼＿／　　 ＼＿＿＿＿＿＿＿＿＿
  ／　│　＼
```","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086077602"
"eggplants","2022-04-01T16:02:45Z","w3c/epub-specs /issues/1380","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086089846"
"eggplants","2022-04-01T16:18:05Z","https://github.com/oxdz/ccdl/blob/057c68ac1c578c9401949b508b260ecc47f5785b/src/ccdl/binb_v016301.py#L132-L143
https://github.com/oxdz/ccdl/blob/057c68ac1c578c9401949b508b260ecc47f5785b/src/ccdl/utils.py#L227-L233","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086105772"
"eggplants","2022-04-01T16:22:16Z","https://github.com/oxdz/ccdl/blob/057c68ac1c578c9401949b508b260ecc47f5785b/src/ccdl/comic_action.py#L23-L45
","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086109404"
"eggplants","2022-04-01T20:44:00Z","https://greasyfork.org/en/scripts/442493
![image](https://user-images.githubusercontent.com/42153744/161338733-67c6536f-f286-4561-a215-c259a337b7c1.png)
","https://github.com/eggplants/ghitter/issues/81#issuecomment-1086307064"
